date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:01	853/853	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Apr%202023%2023:37:41%20GMT	https://blocksdapps.firebaseapp.com/robots.txt		(from )
19:17:01	75250/75250	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Apr%202023%2023:37:41%20GMT	https://blocksdapps.firebaseapp.com/	C:/My%20Web%20Sites/mywebclone/blocksdapps.firebaseapp.com/index.html	(from )
19:17:02	69320/69320	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Apr%202023%2023:37:41%20GMT	https://blocksdapps.firebaseapp.com/assets/css/style.css	C:/My%20Web%20Sites/mywebclone/blocksdapps.firebaseapp.com/assets/css/style.css	(from https://blocksdapps.firebaseapp.com/)
19:17:02	1542/1542	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Apr%202023%2023:37:41%20GMT	https://blocksdapps.firebaseapp.com/assets/icon/Favicon.html	C:/My%20Web%20Sites/mywebclone/blocksdapps.firebaseapp.com/assets/icon/Favicon.html	(from https://blocksdapps.firebaseapp.com/)
19:17:02	1592/1592	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Apr%202023%2023:37:41%20GMT	https://blocksdapps.firebaseapp.com/assets/images/backgroup-secsion/bg-gradient1.html	C:/My%20Web%20Sites/mywebclone/blocksdapps.firebaseapp.com/assets/images/backgroup-secsion/bg-gradient1.html	(from https://blocksdapps.firebaseapp.com/)
19:17:02	1592/1592	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Apr%202023%2023:37:41%20GMT	https://blocksdapps.firebaseapp.com/assets/images/backgroup-secsion/bg-gradient2.html	C:/My%20Web%20Sites/mywebclone/blocksdapps.firebaseapp.com/assets/images/backgroup-secsion/bg-gradient2.html	(from https://blocksdapps.firebaseapp.com/)
19:17:03	1592/1592	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Apr%202023%2023:37:41%20GMT	https://blocksdapps.firebaseapp.com/assets/images/backgroup-secsion/bg-gradient3.html	C:/My%20Web%20Sites/mywebclone/blocksdapps.firebaseapp.com/assets/images/backgroup-secsion/bg-gradient3.html	(from https://blocksdapps.firebaseapp.com/)
19:17:03	127603/127603	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Apr%202023%2023:37:41%20GMT	https://blocksdapps.firebaseapp.com/wallets.html	C:/My%20Web%20Sites/mywebclone/blocksdapps.firebaseapp.com/wallets.html	(from https://blocksdapps.firebaseapp.com/)
19:17:04	127601/127601	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Apr%202023%2023:37:41%20GMT	https://blocksdapps.firebaseapp.com/connect-wallet.html	C:/My%20Web%20Sites/mywebclone/blocksdapps.firebaseapp.com/connect-wallet.html	(from https://blocksdapps.firebaseapp.com/)
19:17:04	1238/1238	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Apr%202023%2023:37:41%20GMT	https://blocksdapps.firebaseapp.com/assets/images/backgroup-secsion/validated.html	C:/My%20Web%20Sites/mywebclone/blocksdapps.firebaseapp.com/assets/images/backgroup-secsion/validated.html	(from https://blocksdapps.firebaseapp.com/)
